wide	広	grade2	232	广[dotted cliff radical (no. 53)] 厂[trailing cliff radical (no. 27)] 厶[katakana mu radical (no. 28)]	"<img src=""05e83.svg"">"
every	毎	grade2	365	𠂉[person (radical)] 丿[katakana no radical (no. 4)] 毋[mother radical (no. 80)]	"<img src=""06bce.svg"">"
sea	海	grade2	212	氵[water radical (no. 85)] 毎[every] 丿[katakana no radical (no. 4)] 毋[mother radical (no. 80)]	"<img src=""06d77.svg"">"
make	作	grade2	35	亻[radical number 9] 乍[though] 丿[katakana no radical (no. 4)]	"<img src=""04f5c.svg"">"
vapor	汽	grade2	2315	氵[water radical (no. 85)] 气[steam radical (no. 84)] 𠂉[person (radical)]	"<img src=""06c7d.svg"">"
house	家	grade2	101	宀[katakana u radical (no. 40)] 冖[wa-shaped crown radical (no. 14)] 豕[pig radical (no. 152)]	"<img src=""05bb6.svg"">"
map	図	grade2	223	囗[box radical (no. 31)] ⺍[owl (primitive)] 乂[mow] 丿[katakana no radical (no. 4)]	"<img src=""056f3.svg"">"
behind	後	grade2	65	彳[going man radical (no. 60)] 亻[radical number 9] 幺[short thread radical (no. 52)] 夂[winter radical (no. 34)]	"<img src=""05f8c.svg"">"
cold	寒	grade3	955	宀[katakana u radical (no. 40)] 冖[wa-shaped crown radical (no. 14)] 三[three] 二[two] 一[one] 八[eight] 冫[two-stroke water radical (no. 15)]	"<img src=""05bd2.svg"">"
even	平	grade3	318	干[dry] 一[one] 十[ten]	"<img src=""05e73.svg"">"
generation	世	grade3	194	廿[twenty] 十[ten] 一[one] 丨[rod radical (no. 2)]	"<img src=""04e16.svg"">"
Inst.	院	grade3	396	⻖[mound] 完[perfect] 宀[katakana u radical (no. 40)] 冖[wa-shaped crown radical (no. 14)] 元[beginning] 二[two] 一[one] 儿[legs radical (no. 10)] 丿[katakana no radical (no. 4)] ㇟[vertical curved hook]	"<img src=""09662.svg"">"
discharge	発	grade3	49	癶[dotted tent radical (no. 105)] 二[two] 一[one] 儿[legs radical (no. 10)] 丿[katakana no radical (no. 4)] ㇟[vertical curved hook]	"<img src=""0767a.svg"">"
copy	写	grade3	168	冖[wa-shaped crown radical (no. 14)] 与[bestow] 一[one]	"<img src=""05199.svg"">"
street	丁	grade3	839	一[one] 亅[barb radical (no. 6)]	"<img src=""04e01.svg"">"
strike	打	grade3	571	扌[hand radical (no. 64)] 丁[street] 一[one] 亅[barb radical (no. 6)]	"<img src=""06253.svg"">"
sake	酒	grade3	527	氵[water radical (no. 85)] 酉[sign of the bird] 西[west] 一[one] 囗[box radical (no. 31)] 儿[legs radical (no. 10)] 丿[katakana no radical (no. 4)] ㇟[vertical curved hook]	"<img src=""09152.svg"">"
salute/salutation	礼	grade3	821	礻[showing radical (no. 113)] 乙[fishguts]	"<img src=""0793c.svg"">"
other	他	grade3	115	亻[radical number 9] 也[est] 乙[fishguts]	"<img src=""04ed6.svg"">"
research	究	grade3	444	穴[hole] 宀[katakana u radical (no. 40)] 冖[wa-shaped crown radical (no. 14)] 八[eight] 九[nine] 乙[fishguts]	"<img src=""07a76.svg"">"
